access_code,state_code,access_flag,add_date,expire_date,status
AH189,CA,0,20090519,20170514,A
AH190,CA,0,20090519,20170514,A
AH191,CA,0,20090519,20170514,A
AH192,CA,0,20090519,20170514,A
AH193,CA,0,20090519,20170514,A
AH194,CA,0,20090519,20170514,A
AH195,CA,0,20090519,20170514,A
AH196,CA,0,20090519,20170514,A
AH197,CA,0,20090519,20170514,A
AH198,CA,0,20090519,20170514,A
AH209,CA,0,20090519,20170514,A
AH287,CA,0,20090519,20170514,A
AI002,CA,0,20090519,20170514,A
AI008,CA,0,20090519,20170514,A
AI012,CA,0,20090519,20170514,A
AI030,CA,0,20090519,20170514,A
AI034,CA,0,20090519,20170514,A
AI059,CA,0,20090519,20170514,A
AI062,CA,0,20090519,20170514,A
AI063,CA,0,20090519,20170514,A
AI072,CA,0,20090519,20170514,A
AI085,CA,0,20090519,20170514,A
AI090,CA,0,20090519,20170514,A
AI095,CA,0,20090519,20170514,A
AI105,CA,0,20090519,20170514,A
AI127,CA,0,20090519,20170514,A
AI132,CA,0,20090519,20170514,A
AI141,CA,0,20090519,20170514,A
AI161,CA,0,20090519,20170514,A
AI162,CA,0,20090519,20170514,A
AI166,CA,0,20090519,20170514,A
AI168,CA,0,20090519,20170514,A
AI175,CA,0,20090519,20170514,A
AI176,CA,0,20090519,20170514,A
AI177,CA,0,20090519,20170514,A
AI178,CA,0,20090519,20170514,A
AI179,CA,0,20090519,20170514,A
AI180,CA,0,20090519,20170514,A
AI181,CA,0,20090519,20170514,A
AI185,CA,0,20090519,20170514,A
AI193,CA,0,20090519,20170514,A
AI195,CA,0,20090519,20170514,A
AI209,CA,0,20090519,20170514,A
AJ462,CA,0,20090519,20170514,A
AJ500,CA,0,20090519,20170514,A
AJ502,CA,0,20090519,20170514,A
AJ517,CA,0,20090519,20170514,A
AJ518,CA,0,20090519,20170514,A
AJ534,CA,0,20090519,20170514,A
AJ558,CA,0,20090519,20170514,A
AJ565,CA,0,20090519,20170514,A
AJ567,CA,0,20090519,20170514,A
AJ569,CA,0,20090519,20170514,A
AJ575,CA,0,20090519,20170514,A
AJ578,CA,0,20090519,20170514,A
AJ581,CA,0,20090519,20170514,A
AJ582,CA,0,20090519,20170514,A
AJ601,CA,0,20090519,20170514,A
AJ612,CA,0,20090519,20170514,A
AJ632,CA,0,20090519,20170514,A
AJ647,CA,0,20090519,20170514,A
AJ649,CA,0,20090519,20170514,A
AJ665,CA,0,20090519,20170514,A
AJ667,CA,0,20090519,20170514,A
AJ668,CA,0,20090519,20170514,A
AJ669,CA,0,20090519,20170514,A
AJ731,CA,0,20090519,20170514,A
AJ739,CA,0,20090519,20170514,A
AJ744,CA,0,20090519,20170514,A
AJ757,CA,0,20090519,20170514,A
AJ759,CA,0,20090519,20170514,A
AJ760,CA,0,20090519,20170514,A
AJ761,CA,0,20090519,20170514,A
AJ762,CA,0,20090519,20170514,A
AJ763,CA,0,20090519,20170514,A
AJ764,CA,0,20090519,20170514,A
AJ765,CA,0,20090519,20170514,A
AJ768,CA,0,20090519,20170514,A
AJ773,CA,0,20090519,20170514,A
AJ774,CA,0,20090519,20170514,A
AJ781,CA,0,20090519,20170514,A
AJ782,CA,0,20090519,20170514,A
AJ786,CA,0,20090519,20170514,A
AJ788,CA,0,20090519,20170514,A
AJ792,CA,0,20090519,20170514,A
AJ793,CA,0,20090519,20170514,A
AJ797,CA,0,20090519,20170514,A
AJ804,CA,0,20090519,20170514,A
AJ815,CA,0,20090519,20170514,A
AJ816,CA,0,20090519,20170514,A
AJ818,CA,0,20090519,20170514,A
AJ821,CA,0,20090519,20170514,A
AJ822,CA,0,20090519,20170514,A
AJ832,CA,0,20090519,20170514,A
AJ846,CA,0,20090519,20170514,A
AJ851,CA,0,20090519,20170514,A
AJ861,CA,0,20090519,20170514,A
AJ874,CA,0,20090519,20170514,A
AJ889,CA,0,20090519,20170514,A
AJ893,CA,0,20090519,20170514,A
AJ900,CA,0,20090519,20170514,A
AJ908,CA,0,20090519,20170514,A
