Location,Node,Relationship
0122044,D05014000,R
0122045,D05019000,R
0122046,D48003000,R
0122047,B14018000,R
0122049,B14170000,R
0122050,F37051000,R
0122052,C33229000,R
0122053,B14178000,R
0122056,B36188000,R
0122059,F17039000,R
0122060,E43061000,R
0122061,B26093000,R
0122062,F19047000,R
0122063,B23094000,R
0122067,D03058000,R
0122068,B23093000,R
0122069,B12313F81,R
0122070,A14214F81,R
0122071,B14213F81,R
0122073,B36267000,R
0122075,C21102000,R
0122077,D06081000,R
0122078,C39345000,R
0122080,CP0036000,R
0122081,CP0072000,R
0122082,CP0227000,R
0122083,CP0218000,R
0122085,CP0220000,R
0122086,CP0304000,R
0122087,CP0379000,R
0122088,CP0034000,R
0122089,CP0493000,R
0122092,CP0561000,R
0122093,CP0562000,R
0122094,CP0563000,R
0122096,CP0582000,R
0122097,CP0583000,R
0122100,CP0588000,R
0122101,CP0590000,R
0122102,CP0667000,R
0122103,CP0688000,R
0122104,CP0689000,R
0122105,CP0690000,R
0122106,CP0692000,R
0122107,CP0693000,R
0122108,CP0694000,R
0122109,CP0695000,R
0122111,CP5000000,R
0122112,CP5000001,R
0122113,CP5000002,R
0122114,CP5000003,R
0122115,CP0730000,R
0122116,CP0732000,R
0122117,CP0735000,R
0122118,CP0752000,R
0122121,CP0761000,R
0122123,CP0821000,R
0122124,CP0759000,R
0122126,CP0847000,R
0122127,CP0848000,R
0122128,CP0849000,R
0122131,CP0976000,R
0122132,CP1083000,R
0122134,CP1175000,R
0122135,CP0816000,R
0122136,CP0814000,R
0122137,CP0815000,R
0122138,CP1448000,R
0122139,CP1468000,R
0122140,CP1497000,R
0122142,CP1640000,R
0122143,CP1641000,R
0122144,CP1642000,R
0122145,CP1694000,R
0122147,CP1751000,R
0122148,CP1775000,R
0122149,CP1776000,R
0122150,CP1904000,R
0122151,CP1910000,R
0122152,CP1777000,R
0122153,CP0824000,R
0122154,CP2101000,R
0122155,CP2142000,R
0122156,CP2144000,R
0122157,CP2473000,R
0122158,CP2500000,R
0122159,CP2600000,R
0122160,CP2861000,R
0122161,CP2873000,R
0122162,CP3042000,R
0122163,CP2362000,R
0122164,CP3144000,R
0122165,CP3168000,R
0122166,CP3169000,R
0122167,CP3336000,R
0122168,CP3425000,R
0122169,CP3427000,R
0122170,CP3482000,R
0122171,CP3483000,R
0122172,CP3484000,R
0122173,CP4139000,R
0122174,CP4142000,R
0122175,CP4247000,R
0122176,CP4249000,R
0122177,CP0642000,R
0122178,CP1696000,R
0122179,B14026F01,R
0122180,D05012F02,R
0122181,B14103F03,R
0122182,B23015F04,R
0122183,B24012F05,R
0122184,B28006F06,R
0122185,E47015F07,R
0122186,F44051F08,R
0122187,E01006F09,R
0122188,E43005F11,R
0122189,D05045F12,R
0122190,C39024F13,R
0122191,B26012F14,R
0122192,D38007F15,R
0122193,B36019F16,R
0122194,C31016F17,R
0122195,B15010F18,R
0122196,E10017F19,R
0122197,D06007F20,R
0122198,C21006F21,R
0122199,F19008F22,R
0122200,D05013F23,R
0122201,D03009F24,R
0122202,F44060F25,R
0122203,F37013F26,R
0122204,E11110F27,R
0122205,C33091F28,R
0122206,CP1322000,R
0122207,CP5033000,R
0122208,CP4193000,R
0122209,F44655F25,R
0122210,D44656F20,R
0122211,C44657F16,R
0122212,B44658F03,R
0122213,B44659F01,R
0122214,CP5414000,R
0122216,CP5457000,R
0122217,CP5458000,R
0122220,CP0698000,R
0122221,B47015F07,R
0122222,B44051F08,R
0122223,B26014F14,R
0122224,B37013F26,R
0122225,CP5599000,R
0122226,IP1452100,R
0122227,B14522FTP,R
0123011,F17015000,R
0124007,F25011000,R
0124019,C33059000,R
0124020,F47042000,R
0124021,D06030000,R
0124022,E43020000,R
0124023,C33115000,R
0124025,E10124000,R
0124026,F37019000,R
0124027,F25028000,R
0124028,C39092000,R
0124029,C21030000,R
0124031,C07045000,R
0124033,E11124000,R
0124034,F17040000,R
0124036,F21032000,R
0124040,F41013000,R
0124042,F34062000,R
0124043,F45008000,R
0124046,F48038000,R
0124051,F36108000,R
0124053,F15034000,R
0124099,C21037000,R
0124100,C21039000,R
0124102,E11149000,R
0124103,C39115000,R
0124104,C21049000,R
0124105,C21052000,R
0124107,C21054000,R
0124153,F25032000,R
0124156,C21060000,R
0124169,C21066000,R
0124170,F17034000,R
0124171,A21076000,R
0124175,C21091000,R
0129010,C39063000,R
0129012,C39105000,R
0129014,A14171000,R
0129015,C39176000,R
0129016,C39006000,R
0129017,C39007000,R
0129018,C39011000,R
0129019,C39175000,R
0129020,C39014000,R
0129022,C39066000,R
0129023,C39098000,R
0129024,C39136000,R
0129025,C39138000,R
0129026,C39139000,R
0129027,C39142000,R
0129028,C39143000,R
0129029,C39149000,R
0129030,C39150000,R
0129031,C39151000,R
0129032,C39152000,R
0129033,C39153000,R
0129034,C31011000,R
0129035,A39179000,R
0129036,B14147000,R
0129037,C39199000,R
0129038,C39246000,R
0129040,B14128000,R
0129041,B14219000,R
0129042,B14220000,R
0129044,CP0070000,R
0129045,C39435000,R
0129046,CP0415000,R
0129047,CP0416000,R
0129048,CP0417000,R
0129049,CP0418000,R
0129050,CP0419000,R
0129051,C39440000,R
0129052,C39336000,R
0129053,C39207000,R
0129054,B36401000,R
0129056,B14165000,R
0129057,E10368000,R
0129060,CP1363000,R
0129061,CP1488000,R
0129063,CP1692000,R
0129065,A04040S00,R
0129066,CP1907000,R
0129067,A04040S01,R
0129070,CP2619000,R
0129072,CP4755000,R
0129073,A04040S02,R
0129074,A04040S03,R
0129075,CP5119000,R
0129076,CP5177000,R
0129077,B14480FTP,R
0129078,A00573000,R
0130002,E11139000,R
0131010,B24015000,R
0133001,E10010000,R
0133004,E10093000,R
0133005,E10081000,R
0135001,F44111000,R
0136002,F37011000,R
0136004,A39045N00,R
0136008,C07011000,R
0136010,E10014000,R
0136012,C39036000,R
0136017,B36052000,R
0136021,C40006000,R
0136022,F10092000,R
0136030,F14067000,R
0136033,C33096000,R
0136034,F40018000,R
0136036,C31066000,R
0136038,E11117000,R
0136039,D05498000,R
0136045,C40020000,R
0136047,A33034000,R
0136048,F44248000,R
0136049,A40016N01,R
0136051,C33132000,R
0136052,F36079000,R
0136057,A40005N00,R
0136062,F44276000,R
0136063,A33034N00,R
0136065,A33034001,R
0136066,A40019000,R
0136067,A40032000,R
0136070,C40023000,R
0136071,C33165000,R
0136072,F33024000,R
0136073,B36148000,R
0136074,C40029000,R
0136077,B36293000,R
0136078,F44342000,R
0136079,B36294000,R
0136080,F44278001,R
0136082,C31184000,R
0136083,CP0039000,R
0136084,CP0040000,R
0136085,A40016000,R
0136086,A40016N00,R
0136088,A33034002,R
0136089,CP1236000,R
0136091,CP1524000,R
0136092,CP1525000,R
0136093,CP1526000,R
0136094,CP1527000,R
0136095,CP1528000,R
0136096,CP1529000,R
0136097,CP1530000,R
